Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): D-RNaseA-OE.dat D-RNaseA_SECSANS_rg-adj.dat  
 1.200000e-002  9.819515e-001  4.828638e-002
 1.400000e-002  1.000348e+000  1.870083e-002
 1.600000e-002  9.774719e-001  2.005648e-002
 1.800000e-002  1.017094e+000  1.866047e-002
 2.000000e-002  9.901674e-001  1.203979e-002
 2.200000e-002  9.661932e-001  1.598277e-002
 2.400000e-002  9.725727e-001  1.516858e-002
 2.600000e-002  9.660634e-001  1.011379e-002
 2.800000e-002  9.578457e-001  1.361507e-002
 3.000000e-002  9.425442e-001  1.321713e-002
 3.200000e-002  9.403071e-001  8.970908e-003
 3.400000e-002  9.307011e-001  1.224085e-002
 3.600000e-002  9.408600e-001  1.187647e-002
 3.800000e-002  9.028401e-001  8.077045e-003
 4.000000e-002  8.769017e-001  6.512319e-003
 4.200000e-002  9.005620e-001  1.084648e-002
 4.400000e-002  9.008996e-001  7.465140e-003
 4.600000e-002  8.797610e-001  6.121102e-003
 4.800000e-002  8.647970e-001  1.007125e-002
 5.000000e-002  8.534316e-001  6.898269e-003
 5.200000e-002  8.340311e-001  5.587316e-003
 5.400000e-002  8.198432e-001  9.400169e-003
 5.600000e-002  8.294765e-001  6.461072e-003
 5.800000e-002  8.107267e-001  5.172744e-003
 6.000000e-002  8.123317e-001  8.841223e-003
 6.200000e-002  7.953797e-001  6.105027e-003
 6.400000e-002  7.712763e-001  4.855193e-003
 6.600000e-002  7.669994e-001  8.325503e-003
 6.800000e-002  7.557686e-001  4.066183e-003
 7.000000e-002  7.311765e-001  8.036614e-003
 7.200000e-002  7.329426e-001  7.955485e-003
 7.400000e-002  7.087094e-001  3.920365e-003
 7.600000e-002  6.853679e-001  7.649466e-003
 7.800000e-002  6.779178e-001  2.039104e-003
 8.400000e-002  6.443756e-001  1.761465e-003
 9.000000e-002  6.065097e-001  1.882926e-003
 9.600000e-002  5.659168e-001  2.103083e-003
 1.020000e-001  5.218902e-001  2.217536e-003
 1.080000e-001  4.848409e-001  3.126348e-003
 1.140000e-001  4.483810e-001  1.703918e-003
 1.200000e-001  4.140077e-001  1.795602e-003
 1.260000e-001  3.812557e-001  1.598480e-003
 1.320000e-001  3.458840e-001  1.535016e-003
 1.380000e-001  3.146334e-001  1.626321e-003
 1.440000e-001  2.811463e-001  1.118178e-003
 1.500000e-001  2.512592e-001  1.502370e-003
 1.560000e-001  2.273900e-001  1.336824e-003
 1.620000e-001  2.021859e-001  1.294695e-003
 1.680000e-001  1.831840e-001  1.407301e-003
 1.740000e-001  1.677323e-001  1.236147e-003
 1.800000e-001  1.519412e-001  1.365800e-003
 1.860000e-001  1.368828e-001  1.198675e-003
 1.920000e-001  1.209984e-001  1.151341e-003
 1.980000e-001  1.101395e-001  1.260776e-003
 2.040000e-001  9.894874e-002  1.123729e-003
 2.100000e-001  9.000496e-002  1.102232e-003
 2.160000e-001  8.013497e-002  1.193498e-003
 2.220000e-001  7.133279e-002  8.494536e-004
 2.280000e-001  6.426929e-002  1.027974e-003
 2.340000e-001  5.667858e-002  1.162261e-003
 2.400000e-001  5.297373e-002  9.934525e-004
 2.460000e-001  4.794281e-002  9.995224e-004
 2.520000e-001  4.179011e-002  1.108317e-003
 2.580000e-001  4.081795e-002  9.771491e-004
 2.640000e-001  3.758504e-002  9.442741e-004
 2.700000e-001  3.613692e-002  1.046126e-003
 2.760000e-001  3.170146e-002  9.270240e-004
 2.820000e-001  3.015935e-002  9.138299e-004
 2.880000e-001  2.793034e-002  1.024150e-003
 2.940000e-001  2.614212e-002  8.904889e-004
 3.000000e-001  2.324911e-002  7.013841e-004
 3.060000e-001  2.218011e-002  8.607058e-004
 3.120000e-001  2.087576e-002  9.819461e-004
 3.180000e-001  1.975752e-002  8.733527e-004
 3.240000e-001  1.982740e-002  8.912642e-004
 3.300000e-001  1.827205e-002  8.837428e-004
 3.360000e-001  1.694074e-002  9.992767e-004
 3.420000e-001  1.558416e-002  9.005327e-004
 3.480000e-001  1.416802e-002  9.090317e-004
 3.540000e-001  1.418123e-002  9.136175e-004
 3.600000e-001  1.242878e-002  9.138714e-004
 3.660000e-001  1.525614e-002  1.065693e-003
 3.720000e-001  1.266294e-002  9.613537e-004
 3.780000e-001  1.299012e-002  9.787656e-004
 3.840000e-001  1.274276e-002  8.185446e-004
 3.900000e-001  1.008203e-002  1.354485e-003
 3.960000e-001  1.369951e-002  1.045191e-003
 4.020000e-001  1.274883e-002  1.049326e-003
 4.080000e-001  1.113071e-002  1.536367e-003
 4.140000e-001  1.001046e-002  1.410900e-003
 4.200000e-001  1.231903e-002  1.432075e-003
 4.260000e-001  1.267740e-002  1.173502e-003
 4.320000e-001  1.002197e-002  1.626029e-003
 4.380000e-001  1.124006e-002  1.597920e-003
 4.440000e-001  1.387928e-002  1.604556e-003
 4.500000e-001  1.164609e-002  1.631363e-003
 4.560000e-001  1.205213e-002  1.636605e-003
 4.620000e-001  9.412915e-003  1.572858e-003
 4.680000e-001  9.349473e-003  1.147065e-003
 4.740000e-001  1.022498e-002  1.598678e-003
 4.800000e-001  1.002197e-002  1.591857e-003
 4.860000e-001  1.022498e-002  1.642293e-003
 4.920000e-001  1.229140e-002  1.678490e-003
 4.980000e-001  1.022498e-002  2.022113e-003
 5.040000e-001  1.184912e-002  2.433011e-003
 5.100000e-001  9.209899e-003  3.000772e-003
 5.160000e-001  1.022498e-002  3.389124e-003
 5.220000e-001  8.073720e-003  3.684762e-003
 5.280000e-001  3.525441e-003  4.169211e-003
 5.340000e-001  3.322425e-003  6.096885e-003
range-from:  1.40000E+01
range-to:  1.06000E+02
template: SANS-SmP.txt
datadjust-scale: 2.03991E+01
datadjust-shift: -9.10507E-03
datadjust-template: D-RNaseA-OE.dat
parent: D-RNaseA-OE.dat
parent: D-RNaseA_SECSANS_rg-adj.dat
parent: 
parent: 
creator: datmerge
creator-version: v0.3 (r13696)
datmerge-scale:  1.00000E+00
datmerge-scale:  1.00000E+00
