Sample description: 
Sample:   c= 0 mg/ml  Code: 
 8.000000e-003  4.305936e+001  4.582470e+000
 9.000000e-003  4.292870e+001  2.911800e+000
 1.000000e-002  4.264889e+001  2.199510e+000
 1.100000e-002  4.183588e+001  1.783630e+000
 1.200000e-002  4.231602e+001  1.552610e+000
 1.300000e-002  4.224349e+001  1.336800e+000
 1.400000e-002  4.218880e+001  1.230870e+000
 1.500000e-002  4.169063e+001  1.116430e+000
 1.600000e-002  4.164108e+001  1.030090e+000
 1.700000e-002  4.166627e+001  9.961800e-001
 1.800000e-002  4.151311e+001  9.574700e-001
 1.900000e-002  4.160061e+001  9.020000e-001
 2.000000e-002  4.141347e+001  8.674100e-001
 2.100000e-002  4.152538e+001  8.626400e-001
 2.200000e-002  4.098011e+001  8.351000e-001
 2.300000e-002  4.113152e+001  8.108000e-001
 2.400000e-002  4.115431e+001  7.831200e-001
 2.500000e-002  4.051167e+001  7.757700e-001
 2.600000e-002  4.072730e+001  7.484100e-001
 2.700000e-002  4.015726e+001  7.400500e-001
 2.800000e-002  3.991846e+001  7.410000e-001
 2.900000e-002  3.961629e+001  7.545800e-001
 3.000000e-002  3.973248e+001  7.553200e-001
 3.100000e-002  3.978051e+001  7.242800e-001
 3.200000e-002  3.980687e+001  7.282700e-001
 3.300000e-002  3.937705e+001  7.590200e-001
 3.400000e-002  3.920065e+001  7.533000e-001
 3.500000e-002  3.912418e+001  7.736400e-001
 3.600000e-002  3.869200e+001  7.815600e-001
 3.700000e-002  3.869114e+001  7.912200e-001
 3.800000e-002  3.867718e+001  8.578700e-001
 3.900000e-002  3.840999e+001  9.386600e-001
 4.000000e-002  3.852954e+001  9.292800e-001
 4.100000e-002  3.782899e+001  9.128300e-001
 4.200000e-002  3.731015e+001  8.800900e-001
 4.300000e-002  3.750135e+001  8.651900e-001
 4.400000e-002  3.688236e+001  8.416200e-001
 4.500000e-002  3.661167e+001  7.839000e-001
 4.600000e-002  3.703599e+001  7.822200e-001
 4.700000e-002  3.667214e+001  7.241200e-001
 4.800000e-002  3.689768e+001  8.319200e-001
 4.900000e-002  3.638268e+001  6.894600e-001
 5.025000e-002  3.600752e+001  5.086900e-001
 5.200000e-002  3.543665e+001  4.569600e-001
 5.400000e-002  3.472153e+001  4.489800e-001
 5.600000e-002  3.432039e+001  4.413700e-001
 5.800000e-002  3.393840e+001  4.311200e-001
 6.000000e-002  3.299832e+001  4.294900e-001
 6.200000e-002  3.261105e+001  4.146600e-001
 6.400000e-002  3.206107e+001  4.110500e-001
 6.600000e-002  3.157674e+001  3.989000e-001
 6.800000e-002  3.093565e+001  3.979600e-001
 7.000000e-002  3.031030e+001  3.965800e-001
 7.200000e-002  2.973956e+001  3.868100e-001
 7.400000e-002  2.922012e+001  3.736200e-001
 7.600000e-002  2.878883e+001  3.735900e-001
 7.800000e-002  2.782333e+001  3.631600e-001
 8.000000e-002  2.733458e+001  3.567800e-001
 8.200000e-002  2.671878e+001  3.522100e-001
 8.400000e-002  2.611787e+001  3.524700e-001
 8.600000e-002  2.536695e+001  3.406100e-001
 8.800000e-002  2.491740e+001  3.388500e-001
 9.000000e-002  2.418804e+001  3.335700e-001
 9.200000e-002  2.370019e+001  3.291800e-001
 9.400000e-002  2.305711e+001  3.239400e-001
 9.600000e-002  2.256294e+001  4.025200e-001
 9.800000e-002  2.202704e+001  3.169700e-001
 1.007500e-001  2.106190e+001  2.127100e-001
 1.050000e-001  1.964299e+001  1.894700e-001
 1.100000e-001  1.826741e+001  1.892500e-001
 1.150000e-001  1.725253e+001  3.438100e-001
 1.200000e-001  1.575646e+001  6.564900e-001
 1.250000e-001  1.441810e+001  3.771800e-001
 1.300000e-001  1.313519e+001  3.519200e-001
 1.350000e-001  1.186638e+001  2.774700e-001
 1.400000e-001  1.072627e+001  2.302000e-001
 1.450000e-001  9.661130e+000  1.593900e-001
 1.500000e-001  8.607880e+000  1.902200e-001
 1.550000e-001  7.717530e+000  2.032600e-001
 1.600000e-001  6.806560e+000  1.605000e-001
 1.650000e-001  6.082880e+000  1.560300e-001
 1.700000e-001  5.386480e+000  1.448200e-001
 1.750000e-001  4.704400e+000  1.331900e-001
 1.800000e-001  4.089080e+000  1.651500e-001
 1.850000e-001  3.605850e+000  1.209600e-001
 1.900000e-001  3.106000e+000  1.226200e-001
 1.950000e-001  2.700750e+000  1.374300e-001
 2.000000e-001  2.383850e+000  1.165800e-001
 2.050000e-001  2.031350e+000  1.405700e-001
 2.100000e-001  1.821800e+000  1.338000e-001
 2.150000e-001  1.569530e+000  1.064900e-001
 2.200000e-001  1.314180e+000  1.087400e-001
 2.250000e-001  1.186520e+000  1.257700e-001
 2.300000e-001  1.059050e+000  1.029500e-001
 2.350000e-001  9.159500e-001  1.494700e-001
 2.400000e-001  8.086800e-001  9.577000e-002
 2.450000e-001  7.784300e-001  9.364000e-002
 2.500000e-001  7.403900e-001  8.095000e-002
 2.550000e-001  7.095100e-001  8.614000e-002
 2.600000e-001  6.095700e-001  1.050500e-001
 2.650000e-001  6.112400e-001  9.894000e-002
 2.700000e-001  6.174500e-001  1.238400e-001
 2.750000e-001  6.207700e-001  1.157500e-001
 2.800000e-001  6.039400e-001  1.582900e-001
 2.850000e-001  6.324900e-001  1.528300e-001
 2.900000e-001  6.814800e-001  8.457000e-002
 2.950000e-001  6.675900e-001  1.212300e-001
 3.000000e-001  6.839200e-001  7.826000e-002
 3.050000e-001  6.545000e-001  7.524000e-002
 3.100000e-001  6.933800e-001  9.731000e-002
 3.150000e-001  7.147700e-001  1.065500e-001
 3.200000e-001  7.317300e-001  1.199800e-001
 3.250000e-001  7.054200e-001  2.139700e-001
 3.300000e-001  6.875500e-001  1.324100e-001
 3.350000e-001  7.131800e-001  3.907800e-001
 3.400000e-001  7.034100e-001  8.944000e-002
 3.450000e-001  6.902100e-001  1.390300e-001
 3.500000e-001  6.917300e-001  1.041000e-001
 3.550000e-001  6.845500e-001  8.430000e-002
 3.600000e-001  6.836500e-001  1.020500e-001
 3.650000e-001  6.902700e-001  8.347000e-002
 3.700000e-001  6.764100e-001  7.965000e-002
 3.750000e-001  6.682700e-001  6.650000e-002
 3.800000e-001  6.704600e-001  6.640000e-002
 3.850000e-001  6.460800e-001  6.780000e-002
 3.900000e-001  6.402700e-001  6.317000e-002
 3.950000e-001  6.122500e-001  7.692000e-002
 4.000000e-001  5.959100e-001  1.565200e-001
 4.050000e-001  5.666900e-001  6.994000e-002
 4.100000e-001  5.565300e-001  6.130000e-002
 4.150000e-001  5.442700e-001  1.554500e-001
 4.200000e-001  5.265100e-001  9.274000e-002
 4.250000e-001  5.256300e-001  6.254000e-002
 4.300000e-001  4.624800e-001  8.497000e-002
 4.350000e-001  4.284500e-001  8.676000e-002
 4.400000e-001  4.521600e-001  1.237700e-001
 4.450000e-001  4.513300e-001  1.265700e-001
 4.500000e-001  4.210100e-001  8.735000e-002
 4.550000e-001  3.627200e-001  6.488000e-002
 4.600000e-001  3.677900e-001  7.398000e-002
 4.650000e-001  3.628500e-001  1.119200e-001
 4.700000e-001  4.131700e-001  8.629000e-002
 4.750000e-001  3.999100e-001  9.568000e-002
 4.800000e-001  3.771300e-001  6.427000e-002
 4.850000e-001  3.536400e-001  7.790000e-002
 4.900000e-001  3.231700e-001  8.366000e-002
 4.950000e-001  3.538500e-001  6.532000e-002
 5.012500e-001  3.721500e-001  5.718300e-001
 5.100000e-001  3.649200e-001  5.252000e-002
 5.200000e-001  3.553700e-001  4.516000e-002
