# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.94939e-01  1.16629e-02 
  2.25063e-03  2.94495e-01  7.76785e-03 
  3.50125e-03  3.10638e-01  6.21889e-03 
  4.75188e-03  2.94517e-01  5.32711e-03 
  6.00251e-03  3.00483e-01  4.72700e-03 
  7.25313e-03  2.97591e-01  4.28593e-03 
  8.50376e-03  2.93513e-01  3.94266e-03 
  9.75439e-03  2.90346e-01  3.66447e-03 
  1.10050e-02  2.87609e-01  3.43215e-03 
  1.22556e-02  2.89219e-01  3.23353e-03 
  1.35063e-02  2.79980e-01  3.06053e-03 
  1.47569e-02  2.75793e-01  2.90753e-03 
  1.60075e-02  2.76247e-01  2.77050e-03 
  1.72581e-02  2.70406e-01  2.64645e-03 
  1.85088e-02  2.64676e-01  2.53313e-03 
  1.97594e-02  2.62454e-01  2.42882e-03 
  2.10100e-02  2.53628e-01  2.33215e-03 
  2.22607e-02  2.50576e-01  2.24204e-03 
  2.35113e-02  2.43228e-01  2.15763e-03 
  2.47619e-02  2.40331e-01  2.07822e-03 
  2.60125e-02  2.35232e-01  2.00322e-03 
  2.72632e-02  2.23368e-01  1.93216e-03 
  2.85138e-02  2.22210e-01  1.86464e-03 
  2.97644e-02  2.18010e-01  1.80032e-03 
  3.10150e-02  2.03939e-01  1.73893e-03 
  3.22657e-02  2.04804e-01  1.68022e-03 
  3.35163e-02  1.99602e-01  1.62399e-03 
  3.47669e-02  1.93303e-01  1.57006e-03 
  3.60175e-02  1.83891e-01  1.51829e-03 
  3.72682e-02  1.77617e-01  1.46853e-03 
  3.85188e-02  1.74502e-01  1.42068e-03 
  3.97694e-02  1.65317e-01  1.37464e-03 
  4.10201e-02  1.61617e-01  1.33032e-03 
  4.22707e-02  1.54753e-01  1.28764e-03 
  4.35213e-02  1.50421e-01  1.24653e-03 
  4.47719e-02  1.44253e-01  1.20693e-03 
  4.60226e-02  1.39805e-01  1.16878e-03 
  4.72732e-02  1.35010e-01  1.13203e-03 
  4.85238e-02  1.30675e-01  1.09663e-03 
  4.97744e-02  1.24458e-01  1.06254e-03 
  5.10251e-02  1.20281e-01  1.02970e-03 
  5.22757e-02  1.15275e-01  9.98096e-04 
  5.35263e-02  1.11077e-01  9.67671e-04 
  5.47769e-02  1.09250e-01  9.38391e-04 
  5.60276e-02  1.01631e-01  9.10220e-04 
  5.72782e-02  9.86030e-02  8.83120e-04 
  5.85288e-02  9.42521e-02  8.57055e-04 
  5.97794e-02  8.99679e-02  8.31989e-04 
  6.10301e-02  8.75099e-02  8.07886e-04 
  6.22807e-02  8.56136e-02  7.84710e-04 
  6.35313e-02  8.05361e-02  7.62424e-04 
  6.47820e-02  7.90242e-02  7.40991e-04 
  6.60326e-02  7.61211e-02  7.20375e-04 
  6.72832e-02  7.20878e-02  7.00540e-04 
  6.85338e-02  6.97001e-02  6.81449e-04 
  6.97845e-02  6.62561e-02  6.63066e-04 
  7.10351e-02  6.50428e-02  6.45355e-04 
  7.22857e-02  6.23444e-02  6.28280e-04 
  7.35363e-02  6.05613e-02  6.11806e-04 
  7.47870e-02  5.74768e-02  5.95899e-04 
  7.60376e-02  5.52948e-02  5.80525e-04 
  7.72882e-02  5.37474e-02  5.65651e-04 
  7.85388e-02  5.02643e-02  5.51248e-04 
  7.97895e-02  5.02484e-02  5.37283e-04 
  8.10401e-02  4.88126e-02  5.23729e-04 
  8.22907e-02  4.64948e-02  5.10559e-04 
  8.35414e-02  4.49509e-02  4.97746e-04 
  8.47920e-02  4.20525e-02  4.85267e-04 
  8.60426e-02  4.08663e-02  4.73098e-04 
  8.72932e-02  4.01776e-02  4.61221e-04 
  8.85439e-02  3.88851e-02  4.49615e-04 
  8.97945e-02  3.71542e-02  4.38263e-04 
  9.10451e-02  3.57307e-02  4.27151e-04 
  9.22957e-02  3.38258e-02  4.16263e-04 
  9.35464e-02  3.25729e-02  4.05589e-04 
  9.47970e-02  3.13467e-02  3.95118e-04 
  9.60476e-02  3.02148e-02  3.84841e-04 
  9.72982e-02  2.87508e-02  3.74750e-04 
  9.85489e-02  2.78963e-02  3.64841e-04 
  9.97995e-02  2.68881e-02  3.55107e-04 
  1.01050e-01  2.59550e-02  3.45545e-04 
  1.02301e-01  2.47536e-02  3.36154e-04 
  1.03551e-01  2.34805e-02  3.26932e-04 
  1.04802e-01  2.21897e-02  3.17878e-04 
  1.06053e-01  2.16684e-02  3.08993e-04 
  1.07303e-01  1.97515e-02  3.00279e-04 
  1.08554e-01  1.91426e-02  2.91736e-04 
  1.09805e-01  1.79318e-02  2.83367e-04 
  1.11055e-01  1.68893e-02  2.75174e-04 
  1.12306e-01  1.61497e-02  2.67160e-04 
  1.13556e-01  1.53398e-02  2.59329e-04 
  1.14807e-01  1.49436e-02  2.51683e-04 
  1.16058e-01  1.42649e-02  2.44225e-04 
  1.17308e-01  1.30758e-02  2.36957e-04 
  1.18559e-01  1.23279e-02  2.29883e-04 
  1.19810e-01  1.17815e-02  2.23005e-04 
  1.21060e-01  1.11775e-02  2.16325e-04 
  1.22311e-01  1.01887e-02  2.09843e-04 
  1.23561e-01  9.82251e-03  2.03562e-04 
  1.24812e-01  9.48042e-03  1.97481e-04 
  1.26063e-01  8.42809e-03  1.91600e-04 
  1.27313e-01  8.32277e-03  1.85918e-04 
  1.28564e-01  7.85656e-03  1.80434e-04 
  1.29815e-01  7.28216e-03  1.75146e-04 
  1.31065e-01  6.59147e-03  1.70050e-04 
  1.32316e-01  6.46289e-03  1.65143e-04 
  1.33566e-01  6.11534e-03  1.60422e-04 
  1.34817e-01  5.51718e-03  1.55881e-04 
  1.36068e-01  5.36530e-03  1.51516e-04 
  1.37318e-01  4.98659e-03  1.47320e-04 
  1.38569e-01  4.62139e-03  1.43288e-04 
  1.39820e-01  4.27039e-03  1.39413e-04 
  1.41070e-01  3.99398e-03  1.35688e-04 
  1.42321e-01  3.92278e-03  1.32108e-04 
  1.43571e-01  3.73448e-03  1.28666e-04 
  1.44822e-01  3.51658e-03  1.25354e-04 
  1.46073e-01  3.20411e-03  1.22167e-04 
  1.47323e-01  2.85288e-03  1.19098e-04 
  1.48574e-01  2.66810e-03  1.16141e-04 
  1.49825e-01  2.63794e-03  1.13292e-04 
  1.51075e-01  2.28218e-03  1.10544e-04 
  1.52326e-01  2.31022e-03  1.07894e-04 
  1.53576e-01  2.15182e-03  1.05337e-04 
  1.54827e-01  2.13906e-03  1.02871e-04 
  1.56078e-01  2.05985e-03  1.00492e-04 
  1.57328e-01  1.63461e-03  9.81979e-05 
  1.58579e-01  1.67257e-03  9.59881e-05 
  1.59830e-01  1.30940e-03  9.38612e-05 
  1.61080e-01  1.34441e-03  9.18168e-05 
  1.62331e-01  1.31327e-03  8.98551e-05 
  1.63581e-01  1.10292e-03  8.79765e-05 
  1.64832e-01  1.07476e-03  8.61820e-05 
  1.66083e-01  8.86567e-04  8.44728e-05 
  1.67333e-01  8.41392e-04  8.28503e-05 
  1.68584e-01  7.77520e-04  8.13160e-05 
  1.69835e-01  7.65844e-04  7.98714e-05 
  1.71085e-01  7.07257e-04  7.85179e-05 
  1.72336e-01  6.43147e-04  7.72568e-05 
  1.73586e-01  6.07059e-04  7.60890e-05 
  1.74837e-01  5.25045e-04  7.50150e-05 
  1.76088e-01  4.92280e-04  7.40348e-05 
  1.77338e-01  3.41480e-04  7.31479e-05 
  1.78589e-01  3.42650e-04  7.23532e-05 
  1.79840e-01  3.95893e-04  7.16490e-05 
  1.81090e-01  4.18717e-04  7.10328e-05 
  1.82341e-01  3.26997e-04  7.05016e-05 
  1.83591e-01  3.63058e-04  7.00517e-05 
  1.84842e-01  3.44029e-04  6.96789e-05 
  1.86093e-01  4.33597e-04  6.93783e-05 
  1.87343e-01  3.37228e-04  6.91448e-05 
  1.88594e-01  3.25296e-04  6.89727e-05 
  1.89845e-01  2.31777e-04  6.88563e-05 
  1.91095e-01  3.49343e-04  6.87894e-05 
  1.92346e-01  2.91952e-04  6.87661e-05 
  1.93596e-01  2.99353e-04  6.87801e-05 
  1.94847e-01  4.32361e-04  6.88255e-05 
  1.96098e-01  2.96597e-04  6.88964e-05 
  1.97348e-01  3.96801e-04  6.89873e-05 
  1.98599e-01  4.36924e-04  6.90929e-05 
  1.99850e-01  4.38405e-04  6.92081e-05 
  2.01100e-01  6.70959e-04  6.93285e-05 
  2.02351e-01  4.21808e-04  6.94498e-05 
  2.03602e-01  6.31220e-04  6.95683e-05 
  2.04852e-01  5.57444e-04  6.96806e-05 
  2.06103e-01  5.63683e-04  6.97839e-05 
  2.07353e-01  4.76986e-04  6.98756e-05 
  2.08604e-01  5.17399e-04  6.99538e-05 
  2.09855e-01  6.00139e-04  7.00167e-05 
  2.11105e-01  6.14050e-04  7.00632e-05 
  2.12356e-01  5.61880e-04  7.00924e-05 
  2.13607e-01  6.54030e-04  7.01037e-05 
  2.14857e-01  7.62706e-04  7.00968e-05 
  2.16108e-01  7.00933e-04  7.00719e-05 
  2.17358e-01  7.56791e-04  7.00292e-05 
  2.18609e-01  7.95528e-04  6.99693e-05 
  2.19860e-01  6.74412e-04  6.98927e-05 
  2.21110e-01  6.95160e-04  6.98005e-05 
  2.22361e-01  8.27817e-04  6.96936e-05 
  2.23612e-01  7.78608e-04  6.95731e-05 
  2.24862e-01  7.38713e-04  6.94401e-05 
  2.26113e-01  7.16098e-04  6.92958e-05 
  2.27363e-01  6.48947e-04  6.91414e-05 
  2.28614e-01  6.82930e-04  6.89780e-05 
  2.29865e-01  6.41232e-04  6.88067e-05 
  2.31115e-01  7.70846e-04  6.86286e-05 
  2.32366e-01  7.44464e-04  6.84447e-05 
  2.33617e-01  8.35376e-04  6.82558e-05 
  2.34867e-01  7.67260e-04  6.80627e-05 
  2.36118e-01  6.45012e-04  6.78660e-05 
  2.37368e-01  7.67036e-04  6.76662e-05 
  2.38619e-01  6.89477e-04  6.74636e-05 
  2.39870e-01  7.14236e-04  6.72586e-05 
  2.41120e-01  7.32455e-04  6.70511e-05 
  2.42371e-01  7.43768e-04  6.68413e-05 
  2.43622e-01  6.70335e-04  6.66290e-05 
  2.44872e-01  8.14579e-04  6.64139e-05 
  2.46123e-01  7.27715e-04  6.61957e-05 
  2.47373e-01  7.30939e-04  6.59740e-05 
  2.48624e-01  7.26992e-04  6.57483e-05 
  2.49875e-01  7.25616e-04  6.55182e-05 
  2.51125e-01  7.68918e-04  6.52831e-05 
  2.52376e-01  6.12655e-04  6.50424e-05 
  2.53627e-01  6.50828e-04  6.47956e-05 
  2.54877e-01  6.90204e-04  6.45421e-05 
  2.56128e-01  6.72156e-04  6.42814e-05 
  2.57378e-01  7.00114e-04  6.40131e-05 
  2.58629e-01  6.12796e-04  6.37369e-05 
  2.59880e-01  6.13012e-04  6.34523e-05 
  2.61130e-01  6.31886e-04  6.31591e-05 
  2.62381e-01  6.92562e-04  6.28573e-05 
  2.63632e-01  5.91367e-04  6.25468e-05 
  2.64882e-01  5.79084e-04  6.22276e-05 
  2.66133e-01  5.50165e-04  6.19000e-05 
  2.67383e-01  4.61922e-04  6.15642e-05 
  2.68634e-01  6.04102e-04  6.12207e-05 
  2.69885e-01  4.97451e-04  6.08698e-05 
  2.71135e-01  4.76869e-04  6.05124e-05 
  2.72386e-01  5.72079e-04  6.01489e-05 
  2.73637e-01  4.50801e-04  5.97803e-05 
  2.74887e-01  4.68209e-04  5.94074e-05 
  2.76138e-01  4.71479e-04  5.90312e-05 
  2.77388e-01  3.64497e-04  5.86526e-05 
  2.78639e-01  4.08026e-04  5.82727e-05 
  2.79890e-01  4.48685e-04  5.78926e-05 
  2.81140e-01  3.96871e-04  5.75134e-05 
  2.82391e-01  4.34235e-04  5.71361e-05 
  2.83642e-01  4.59827e-04  5.67619e-05 
  2.84892e-01  2.30476e-04  5.63918e-05 
  2.86143e-01  2.53264e-04  5.60268e-05 
  2.87393e-01  2.88971e-04  5.56680e-05 
  2.88644e-01  3.08560e-04  5.53162e-05 
  2.89895e-01  2.96619e-04  5.49723e-05 
  2.91145e-01  3.43756e-04  5.46371e-05 
  2.92396e-01  3.13893e-04  5.43111e-05 
  2.93647e-01  1.91421e-04  5.39950e-05 
  2.94897e-01  3.08635e-04  5.36892e-05 
  2.96148e-01  1.71624e-04  5.33941e-05 
  2.97398e-01  1.47841e-04  5.31099e-05 
  2.98649e-01  1.91357e-04  5.28367e-05 
  2.99900e-01  1.93074e-04  5.25745e-05 
  3.01150e-01  9.74084e-05  5.23233e-05 
  3.02401e-01  7.91097e-05  5.20829e-05 
  3.03652e-01  1.12920e-04  5.18530e-05 
  3.04902e-01  8.86727e-05  5.16333e-05 
  3.06153e-01  9.68928e-05  5.14233e-05 
  3.07404e-01  4.45508e-05  5.12226e-05 
  3.08654e-01  1.20930e-04  5.10306e-05 
  3.09905e-01  8.82708e-05  5.08469e-05 
  3.11155e-01  5.70131e-05  5.06707e-05 
  3.12406e-01  5.60325e-05  5.05015e-05 
  3.13657e-01  1.21688e-04  5.03387e-05 
  3.14907e-01  1.19584e-04  5.01817e-05 
  3.16158e-01  -2.33491e-05 5.00300e-05 
  3.17409e-01  9.77959e-05  4.98830e-05 
  3.18659e-01  8.88555e-05  4.97402e-05 
  3.19910e-01  1.36677e-05  4.96011e-05 
  3.21160e-01  1.05025e-04  4.94653e-05 
  3.22411e-01  8.10816e-05  4.93326e-05 
  3.23662e-01  1.73124e-04  4.92025e-05 
  3.24912e-01  7.64913e-05  4.90749e-05 
  3.26163e-01  1.41723e-04  4.89496e-05 
  3.27414e-01  -7.02887e-05 4.88265e-05 
  3.28664e-01  3.82564e-05  4.87055e-05 
  3.29915e-01  8.63020e-05  4.85866e-05 
  3.31165e-01  5.74260e-05  4.84698e-05 
  3.32416e-01  3.03189e-05  4.83553e-05 
  3.33667e-01  2.29432e-05  4.82432e-05 
  3.34917e-01  8.55773e-05  4.81337e-05 
  3.36168e-01  2.29692e-05  4.80268e-05 
  3.37419e-01  6.19659e-05  4.79229e-05 
  3.38669e-01  3.23961e-05  4.78221e-05 
  3.39920e-01  6.43594e-05  4.77246e-05 
  3.41170e-01  8.05940e-05  4.76307e-05 
  3.42421e-01  4.36041e-05  4.75405e-05 
  3.43672e-01  7.64035e-05  4.74543e-05 
  3.44922e-01  -1.12906e-05 4.73720e-05 
  3.46173e-01  5.45840e-05  4.72940e-05 
  3.47424e-01  1.02614e-05  4.72202e-05 
  3.48674e-01  -2.89107e-05 4.71507e-05 
  3.49925e-01  6.50424e-05  4.70854e-05 
  3.51175e-01  2.24297e-05  4.70244e-05 
  3.52426e-01  -4.99490e-06 4.69675e-05 
  3.53677e-01  4.42677e-05  4.69146e-05 
  3.54927e-01  1.12503e-04  4.68654e-05 
  3.56178e-01  8.92651e-05  4.68198e-05 
  3.57429e-01  6.72739e-05  4.67774e-05 
  3.58679e-01  6.17291e-05  4.67380e-05 
  3.59930e-01  3.26516e-05  4.67011e-05 
  3.61180e-01  5.92362e-05  4.66665e-05 
  3.62431e-01  1.13514e-04  4.66336e-05 
  3.63682e-01  -8.88154e-06 4.66021e-05 
  3.64932e-01  2.38137e-05  4.65716e-05 
  3.66183e-01  1.02221e-04  4.65415e-05 
  3.67434e-01  1.06703e-04  4.65115e-05 
  3.68684e-01  5.31382e-05  4.64811e-05 
  3.69935e-01  1.14981e-04  4.64499e-05 
  3.71185e-01  1.00727e-04  4.64175e-05 
  3.72436e-01  6.69460e-05  4.63835e-05 
  3.73687e-01  1.34194e-04  4.63476e-05 
  3.74937e-01  1.34657e-04  4.63094e-05 
  3.76188e-01  1.23102e-04  4.62686e-05 
  3.77439e-01  8.79467e-05  4.62250e-05 
  3.78689e-01  9.05689e-05  4.61784e-05 
  3.79940e-01  1.21994e-04  4.61286e-05 
  3.81190e-01  9.96180e-05  4.60755e-05 
  3.82441e-01  1.79665e-04  4.60190e-05 
  3.83692e-01  1.16743e-04  4.59591e-05 
  3.84942e-01  1.39949e-04  4.58958e-05 
  3.86193e-01  1.61478e-04  4.58291e-05 
  3.87444e-01  6.24406e-05  4.57591e-05 
  3.88694e-01  5.91685e-05  4.56859e-05 
  3.89945e-01  1.53670e-04  4.56097e-05 
  3.91195e-01  8.51332e-05  4.55306e-05 
  3.92446e-01  1.90078e-04  4.54490e-05 
  3.93697e-01  1.54165e-04  4.53649e-05 
  3.94947e-01  9.06076e-05  4.52786e-05 
  3.96198e-01  1.43330e-04  4.51905e-05 
  3.97449e-01  1.44011e-04  4.51007e-05 
  3.98699e-01  8.73964e-05  4.50095e-05 
  3.99950e-01  2.86210e-05  4.49173e-05 
