# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.06812e-02  4.24472e-03 
  2.25063e-03  3.00806e-02  2.82906e-03 
  3.50125e-03  3.38809e-02  2.26769e-03 
  4.75188e-03  2.97966e-02  1.94590e-03 
  6.00251e-03  3.11197e-02  1.73062e-03 
  7.25313e-03  3.74162e-02  1.57354e-03 
  8.50376e-03  3.17922e-02  1.45233e-03 
  9.75439e-03  3.52220e-02  1.35506e-03 
  1.10050e-02  3.39259e-02  1.27470e-03 
  1.22556e-02  3.35505e-02  1.20680e-03 
  1.35063e-02  3.35014e-02  1.14840e-03 
  1.47569e-02  3.25805e-02  1.09744e-03 
  1.60075e-02  3.14235e-02  1.05242e-03 
  1.72581e-02  3.31250e-02  1.01225e-03 
  1.85088e-02  3.06538e-02  9.76075e-04 
  1.97594e-02  3.31669e-02  9.43260e-04 
  2.10100e-02  3.05721e-02  9.13290e-04 
  2.22607e-02  3.08376e-02  8.85757e-04 
  2.35113e-02  3.24702e-02  8.60330e-04 
  2.47619e-02  3.14194e-02  8.36737e-04 
  2.60125e-02  3.13221e-02  8.14752e-04 
  2.72632e-02  2.91489e-02  7.94186e-04 
  2.85138e-02  3.14968e-02  7.74881e-04 
  2.97644e-02  3.03470e-02  7.56701e-04 
  3.10150e-02  3.07168e-02  7.39530e-04 
  3.22657e-02  3.04220e-02  7.23269e-04 
  3.35163e-02  3.04023e-02  7.07830e-04 
  3.47669e-02  3.02161e-02  6.93137e-04 
  3.60175e-02  2.95486e-02  6.79125e-04 
  3.72682e-02  2.98576e-02  6.65736e-04 
  3.85188e-02  2.89119e-02  6.52918e-04 
  3.97694e-02  2.93957e-02  6.40624e-04 
  4.10201e-02  2.88459e-02  6.28815e-04 
  4.22707e-02  2.86533e-02  6.17454e-04 
  4.35213e-02  2.77056e-02  6.06508e-04 
  4.47719e-02  2.72972e-02  5.95948e-04 
  4.60226e-02  2.78014e-02  5.85748e-04 
  4.72732e-02  2.71053e-02  5.75883e-04 
  4.85238e-02  2.81040e-02  5.66332e-04 
  4.97744e-02  2.72585e-02  5.57074e-04 
  5.10251e-02  2.73519e-02  5.48093e-04 
  5.22757e-02  2.65348e-02  5.39372e-04 
  5.35263e-02  2.68996e-02  5.30895e-04 
  5.47769e-02  2.65476e-02  5.22649e-04 
  5.60276e-02  2.59975e-02  5.14621e-04 
  5.72782e-02  2.58320e-02  5.06800e-04 
  5.85288e-02  2.53355e-02  4.99175e-04 
  5.97794e-02  2.44460e-02  4.91737e-04 
  6.10301e-02  2.47146e-02  4.84475e-04 
  6.22807e-02  2.47547e-02  4.77382e-04 
  6.35313e-02  2.47545e-02  4.70449e-04 
  6.47820e-02  2.40456e-02  4.63671e-04 
  6.60326e-02  2.40807e-02  4.57039e-04 
  6.72832e-02  2.29223e-02  4.50548e-04 
  6.85338e-02  2.24767e-02  4.44192e-04 
  6.97845e-02  2.21703e-02  4.37966e-04 
  7.10351e-02  2.18671e-02  4.31864e-04 
  7.22857e-02  2.17583e-02  4.25882e-04 
  7.35363e-02  2.10578e-02  4.20015e-04 
  7.47870e-02  2.13739e-02  4.14260e-04 
  7.60376e-02  2.10142e-02  4.08613e-04 
  7.72882e-02  2.01812e-02  4.03069e-04 
  7.85388e-02  2.03920e-02  3.97627e-04 
  7.97895e-02  1.98151e-02  3.92282e-04 
  8.10401e-02  1.93021e-02  3.87031e-04 
  8.22907e-02  1.99095e-02  3.81873e-04 
  8.35414e-02  1.95158e-02  3.76804e-04 
  8.47920e-02  1.89026e-02  3.71822e-04 
  8.60426e-02  1.87582e-02  3.66925e-04 
  8.72932e-02  1.78020e-02  3.62110e-04 
  8.85439e-02  1.83823e-02  3.57375e-04 
  8.97945e-02  1.75773e-02  3.52719e-04 
  9.10451e-02  1.72855e-02  3.48140e-04 
  9.22957e-02  1.64792e-02  3.43637e-04 
  9.35464e-02  1.70425e-02  3.39206e-04 
  9.47970e-02  1.61853e-02  3.34848e-04 
  9.60476e-02  1.56181e-02  3.30561e-04 
  9.72982e-02  1.54661e-02  3.26343e-04 
  9.85489e-02  1.55583e-02  3.22192e-04 
  9.97995e-02  1.52660e-02  3.18109e-04 
  1.01050e-01  1.47821e-02  3.14092e-04 
  1.02301e-01  1.47274e-02  3.10139e-04 
  1.03551e-01  1.39194e-02  3.06250e-04 
  1.04802e-01  1.40049e-02  3.02423e-04 
  1.06053e-01  1.36622e-02  2.98659e-04 
  1.07303e-01  1.37021e-02  2.94955e-04 
  1.08554e-01  1.28186e-02  2.91311e-04 
  1.09805e-01  1.32777e-02  2.87727e-04 
  1.11055e-01  1.27794e-02  2.84201e-04 
  1.12306e-01  1.19911e-02  2.80732e-04 
  1.13556e-01  1.19442e-02  2.77321e-04 
  1.14807e-01  1.19244e-02  2.73967e-04 
  1.16058e-01  1.11211e-02  2.70668e-04 
  1.17308e-01  1.16149e-02  2.67424e-04 
  1.18559e-01  1.07883e-02  2.64235e-04 
  1.19810e-01  1.11090e-02  2.61100e-04 
  1.21060e-01  1.03110e-02  2.58018e-04 
  1.22311e-01  1.04537e-02  2.54989e-04 
  1.23561e-01  9.93305e-03  2.52012e-04 
  1.24812e-01  9.88696e-03  2.49087e-04 
  1.26063e-01  9.54520e-03  2.46214e-04 
  1.27313e-01  9.38563e-03  2.43391e-04 
  1.28564e-01  8.99958e-03  2.40618e-04 
  1.29815e-01  8.81514e-03  2.37895e-04 
  1.31065e-01  8.63557e-03  2.35222e-04 
  1.32316e-01  8.51622e-03  2.32597e-04 
  1.33566e-01  8.11219e-03  2.30021e-04 
  1.34817e-01  8.05642e-03  2.27493e-04 
  1.36068e-01  8.03749e-03  2.25012e-04 
  1.37318e-01  8.36411e-03  2.22577e-04 
  1.38569e-01  7.41967e-03  2.20190e-04 
  1.39820e-01  7.56182e-03  2.17848e-04 
  1.41070e-01  7.04829e-03  2.15552e-04 
  1.42321e-01  6.96165e-03  2.13301e-04 
  1.43571e-01  6.55383e-03  2.11094e-04 
  1.44822e-01  6.58833e-03  2.08931e-04 
  1.46073e-01  6.49394e-03  2.06812e-04 
  1.47323e-01  6.35461e-03  2.04736e-04 
  1.48574e-01  5.91907e-03  2.02702e-04 
  1.49825e-01  5.96994e-03  2.00711e-04 
  1.51075e-01  6.03822e-03  1.98761e-04 
  1.52326e-01  5.71583e-03  1.96851e-04 
  1.53576e-01  5.70192e-03  1.94983e-04 
  1.54827e-01  5.69303e-03  1.93154e-04 
  1.56078e-01  5.28126e-03  1.91364e-04 
  1.57328e-01  5.24538e-03  1.89613e-04 
  1.58579e-01  4.97537e-03  1.87901e-04 
  1.59830e-01  4.97226e-03  1.86226e-04 
  1.61080e-01  4.66970e-03  1.84588e-04 
  1.62331e-01  4.50759e-03  1.82986e-04 
  1.63581e-01  4.61305e-03  1.81421e-04 
  1.64832e-01  4.57974e-03  1.79890e-04 
  1.66083e-01  4.17009e-03  1.78394e-04 
  1.67333e-01  4.14020e-03  1.76933e-04 
  1.68584e-01  4.21572e-03  1.75504e-04 
  1.69835e-01  4.03218e-03  1.74109e-04 
  1.71085e-01  3.88469e-03  1.72746e-04 
  1.72336e-01  3.67160e-03  1.71414e-04 
  1.73586e-01  3.74853e-03  1.70113e-04 
  1.74837e-01  3.73935e-03  1.68843e-04 
  1.76088e-01  3.60988e-03  1.67602e-04 
  1.77338e-01  3.62127e-03  1.66390e-04 
  1.78589e-01  3.37431e-03  1.65206e-04 
  1.79840e-01  3.41529e-03  1.64050e-04 
  1.81090e-01  3.15137e-03  1.62921e-04 
  1.82341e-01  3.19283e-03  1.61819e-04 
  1.83591e-01  2.97932e-03  1.60742e-04 
  1.84842e-01  2.88411e-03  1.59690e-04 
  1.86093e-01  3.16597e-03  1.58663e-04 
  1.87343e-01  2.76842e-03  1.57659e-04 
  1.88594e-01  2.71389e-03  1.56679e-04 
  1.89845e-01  2.74368e-03  1.55721e-04 
  1.91095e-01  3.01940e-03  1.54786e-04 
  1.92346e-01  2.84317e-03  1.53871e-04 
  1.93596e-01  2.59522e-03  1.52977e-04 
  1.94847e-01  2.62824e-03  1.52103e-04 
  1.96098e-01  2.44733e-03  1.51249e-04 
  1.97348e-01  2.43744e-03  1.50413e-04 
  1.98599e-01  2.69525e-03  1.49596e-04 
  1.99850e-01  2.59416e-03  1.48796e-04 
  2.01100e-01  2.30301e-03  1.48014e-04 
  2.02351e-01  2.29429e-03  1.47248e-04 
  2.03602e-01  2.34038e-03  1.46498e-04 
  2.04852e-01  2.44202e-03  1.45763e-04 
  2.06103e-01  2.15300e-03  1.45043e-04 
  2.07353e-01  2.07418e-03  1.44338e-04 
  2.08604e-01  2.13106e-03  1.43647e-04 
  2.09855e-01  2.11892e-03  1.42969e-04 
  2.11105e-01  2.17671e-03  1.42303e-04 
  2.12356e-01  1.98849e-03  1.41651e-04 
  2.13607e-01  1.78516e-03  1.41010e-04 
  2.14857e-01  1.78365e-03  1.40380e-04 
  2.16108e-01  1.66054e-03  1.39762e-04 
  2.17358e-01  1.92221e-03  1.39155e-04 
  2.18609e-01  1.71151e-03  1.38557e-04 
  2.19860e-01  1.90367e-03  1.37969e-04 
  2.21110e-01  1.71985e-03  1.37391e-04 
  2.22361e-01  1.59498e-03  1.36822e-04 
  2.23612e-01  1.68480e-03  1.36262e-04 
  2.24862e-01  1.54253e-03  1.35709e-04 
  2.26113e-01  1.88544e-03  1.35165e-04 
  2.27363e-01  1.49903e-03  1.34629e-04 
  2.28614e-01  1.60920e-03  1.34099e-04 
  2.29865e-01  1.50088e-03  1.33577e-04 
  2.31115e-01  1.70111e-03  1.33062e-04 
  2.32366e-01  1.61713e-03  1.32553e-04 
  2.33617e-01  1.54528e-03  1.32050e-04 
  2.34867e-01  1.32363e-03  1.31554e-04 
  2.36118e-01  1.49370e-03  1.31063e-04 
  2.37368e-01  1.43888e-03  1.30577e-04 
  2.38619e-01  1.64904e-03  1.30097e-04 
  2.39870e-01  1.38465e-03  1.29622e-04 
  2.41120e-01  1.26478e-03  1.29152e-04 
  2.42371e-01  1.29144e-03  1.28686e-04 
  2.43622e-01  1.50897e-03  1.28225e-04 
  2.44872e-01  1.46771e-03  1.27769e-04 
  2.46123e-01  1.43709e-03  1.27316e-04 
  2.47373e-01  1.34098e-03  1.26868e-04 
  2.48624e-01  1.65431e-03  1.26424e-04 
  2.49875e-01  1.13519e-03  1.25983e-04 
  2.51125e-01  1.34133e-03  1.25546e-04 
  2.52376e-01  1.45733e-03  1.25112e-04 
  2.53627e-01  1.18829e-03  1.24682e-04 
  2.54877e-01  1.26950e-03  1.24256e-04 
  2.56128e-01  1.27134e-03  1.23832e-04 
  2.57378e-01  1.37096e-03  1.23412e-04 
  2.58629e-01  9.73750e-04  1.22995e-04 
  2.59880e-01  1.03630e-03  1.22581e-04 
  2.61130e-01  1.08108e-03  1.22170e-04 
  2.62381e-01  9.68570e-04  1.21762e-04 
  2.63632e-01  1.18674e-03  1.21357e-04 
  2.64882e-01  1.19762e-03  1.20955e-04 
  2.66133e-01  1.27504e-03  1.20555e-04 
  2.67383e-01  1.09081e-03  1.20158e-04 
  2.68634e-01  1.07790e-03  1.19764e-04 
  2.69885e-01  9.17420e-04  1.19373e-04 
  2.71135e-01  9.57272e-04  1.18985e-04 
  2.72386e-01  1.05295e-03  1.18599e-04 
  2.73637e-01  1.09970e-03  1.18216e-04 
  2.74887e-01  1.02607e-03  1.17835e-04 
  2.76138e-01  1.02221e-03  1.17457e-04 
  2.77388e-01  8.88754e-04  1.17082e-04 
  2.78639e-01  1.06883e-03  1.16710e-04 
  2.79890e-01  8.89376e-04  1.16340e-04 
  2.81140e-01  9.29550e-04  1.15972e-04 
  2.82391e-01  9.61372e-04  1.15608e-04 
  2.83642e-01  9.05879e-04  1.15246e-04 
  2.84892e-01  7.91190e-04  1.14887e-04 
  2.86143e-01  8.87219e-04  1.14530e-04 
  2.87393e-01  8.81789e-04  1.14177e-04 
  2.88644e-01  6.48502e-04  1.13826e-04 
  2.89895e-01  7.87852e-04  1.13477e-04 
  2.91145e-01  7.97045e-04  1.13132e-04 
  2.92396e-01  7.45105e-04  1.12789e-04 
  2.93647e-01  1.00109e-03  1.12449e-04 
  2.94897e-01  7.92017e-04  1.12111e-04 
  2.96148e-01  6.31356e-04  1.11777e-04 
  2.97398e-01  6.98214e-04  1.11445e-04 
  2.98649e-01  8.64555e-04  1.11116e-04 
  2.99900e-01  6.27957e-04  1.10790e-04 
  3.01150e-01  7.35809e-04  1.10467e-04 
  3.02401e-01  5.62575e-04  1.10147e-04 
  3.03652e-01  5.36437e-04  1.09829e-04 
  3.04902e-01  7.54400e-04  1.09515e-04 
  3.06153e-01  7.17835e-04  1.09203e-04 
  3.07404e-01  5.70610e-04  1.08894e-04 
  3.08654e-01  7.29396e-04  1.08588e-04 
  3.09905e-01  5.65185e-04  1.08285e-04 
  3.11155e-01  6.68199e-04  1.07985e-04 
  3.12406e-01  6.57080e-04  1.07688e-04 
  3.13657e-01  5.18386e-04  1.07394e-04 
  3.14907e-01  4.08504e-04  1.07102e-04 
  3.16158e-01  5.95141e-04  1.06814e-04 
  3.17409e-01  6.97755e-04  1.06528e-04 
  3.18659e-01  3.66768e-04  1.06245e-04 
  3.19910e-01  3.54222e-04  1.05965e-04 
  3.21160e-01  4.13278e-04  1.05688e-04 
  3.22411e-01  6.44834e-04  1.05414e-04 
  3.23662e-01  7.55138e-04  1.05143e-04 
  3.24912e-01  3.38019e-04  1.04874e-04 
  3.26163e-01  5.01036e-04  1.04608e-04 
  3.27414e-01  4.43897e-04  1.04345e-04 
  3.28664e-01  4.88913e-04  1.04085e-04 
  3.29915e-01  5.48498e-04  1.03828e-04 
  3.31165e-01  3.84740e-04  1.03573e-04 
  3.32416e-01  2.39863e-04  1.03321e-04 
  3.33667e-01  3.14959e-04  1.03072e-04 
  3.34917e-01  2.24472e-04  1.02825e-04 
  3.36168e-01  2.94992e-04  1.02581e-04 
  3.37419e-01  3.83963e-04  1.02340e-04 
  3.38669e-01  2.59513e-04  1.02101e-04 
  3.39920e-01  2.90897e-04  1.01865e-04 
  3.41170e-01  3.78818e-04  1.01631e-04 
  3.42421e-01  2.61051e-04  1.01399e-04 
  3.43672e-01  4.18381e-04  1.01171e-04 
  3.44922e-01  3.52089e-04  1.00944e-04 
  3.46173e-01  2.54951e-04  1.00720e-04 
  3.47424e-01  3.85758e-04  1.00498e-04 
  3.48674e-01  3.98685e-04  1.00279e-04 
  3.49925e-01  3.36863e-04  1.00061e-04 
  3.51175e-01  1.42673e-04  9.98464e-05 
  3.52426e-01  2.64882e-04  9.96335e-05 
  3.53677e-01  3.61035e-04  9.94228e-05 
  3.54927e-01  1.67168e-04  9.92142e-05 
  3.56178e-01  2.40616e-04  9.90076e-05 
  3.57429e-01  3.31725e-04  9.88031e-05 
  3.58679e-01  1.92024e-04  9.86005e-05 
  3.59930e-01  2.47302e-04  9.83999e-05 
  3.61180e-01  1.33315e-04  9.82012e-05 
  3.62431e-01  3.17744e-04  9.80043e-05 
  3.63682e-01  7.66701e-05  9.78092e-05 
  3.64932e-01  2.60615e-04  9.76159e-05 
  3.66183e-01  2.69460e-04  9.74244e-05 
  3.67434e-01  2.71780e-04  9.72345e-05 
  3.68684e-01  2.12277e-04  9.70463e-05 
  3.69935e-01  1.24298e-04  9.68597e-05 
  3.71185e-01  1.56380e-04  9.66746e-05 
  3.72436e-01  1.63770e-04  9.64911e-05 
  3.73687e-01  9.98346e-05  9.63091e-05 
  3.74937e-01  2.82502e-04  9.61286e-05 
  3.76188e-01  1.09943e-04  9.59494e-05 
  3.77439e-01  2.53838e-04  9.57717e-05 
  3.78689e-01  3.04880e-04  9.55953e-05 
  3.79940e-01  1.81309e-04  9.54202e-05 
  3.81190e-01  2.76232e-04  9.52464e-05 
  3.82441e-01  2.26557e-04  9.50739e-05 
