"Data created by SasView 5.0.1 on March 18, 2020 by Paul Butler"			
Purpose: test for invariant			
Simulated sample for: 1% SiO2 spheres of 100nm diameter in D2O			
			
Model used: Sphere form factor with NO structure factor			
Parameters: scale =0.01; bgd=0; sld=4.2e-6; sld solv=6.4e-6; Radius=500A			
resolution: pinhole with 15% DQ/Q			
zero polydispersity			
Calculated Sv (specific surface area) is then =  3 phi/R = 3 *0.01/500 =6e-5 1/A and the Porod Constant Cp=2*pi*(2.2e-6)^2*Sv=1.825e-15 A^-5 or *1e8 cm^-1/1A^-1= 1.825E-7 cm^-1A^-4			
			
			
<X>	<Y>	<dY>	<dsigQ>
1.00E-03	2.41E+03	2.41E+01	1.50E-04
1.04E-03	2.40E+03	2.40E+01	1.56E-04
1.09E-03	2.39E+03	2.39E+01	1.63E-04
1.13E-03	2.37E+03	2.37E+01	1.70E-04
1.18E-03	2.36E+03	2.36E+01	1.77E-04
1.23E-03	2.34E+03	2.34E+01	1.85E-04
1.28E-03	2.33E+03	2.33E+01	1.93E-04
1.34E-03	2.31E+03	2.31E+01	2.01E-04
1.40E-03	2.29E+03	2.29E+01	2.09E-04
1.46E-03	2.27E+03	2.27E+01	2.18E-04
1.52E-03	2.25E+03	2.25E+01	2.28E-04
1.58E-03	2.23E+03	2.23E+01	2.37E-04
1.65E-03	2.20E+03	2.20E+01	2.47E-04
1.72E-03	2.18E+03	2.18E+01	2.58E-04
1.79E-03	2.15E+03	2.15E+01	2.69E-04
1.87E-03	2.12E+03	2.12E+01	2.80E-04
1.95E-03	2.08E+03	2.08E+01	2.92E-04
2.03E-03	2.05E+03	2.05E+01	3.05E-04
2.12E-03	2.01E+03	2.01E+01	3.18E-04
2.21E-03	1.97E+03	1.97E+01	3.31E-04
2.30E-03	1.93E+03	1.93E+01	3.45E-04
2.40E-03	1.88E+03	1.88E+01	3.60E-04
2.50E-03	1.83E+03	1.83E+01	3.75E-04
2.61E-03	1.78E+03	1.78E+01	3.91E-04
2.72E-03	1.73E+03	1.73E+01	4.08E-04
2.84E-03	1.67E+03	1.67E+01	4.26E-04
2.96E-03	1.61E+03	1.61E+01	4.44E-04
3.08E-03	1.54E+03	1.54E+01	4.63E-04
3.22E-03	1.48E+03	1.48E+01	4.82E-04
3.35E-03	1.41E+03	1.41E+01	5.03E-04
3.49E-03	1.34E+03	1.34E+01	5.24E-04
3.64E-03	1.26E+03	1.26E+01	5.47E-04
3.80E-03	1.19E+03	1.19E+01	5.70E-04
3.96E-03	1.11E+03	1.11E+01	5.94E-04
4.13E-03	1.03E+03	1.03E+01	6.19E-04
4.31E-03	9.48E+02	9.48E+00	6.46E-04
4.49E-03	8.67E+02	8.67E+00	6.73E-04
4.68E-03	7.87E+02	7.87E+00	7.02E-04
4.88E-03	7.07E+02	7.07E+00	7.32E-04
5.09E-03	6.29E+02	6.29E+00	7.63E-04
5.30E-03	5.54E+02	5.54E+00	7.96E-04
5.53E-03	4.81E+02	4.81E+00	8.29E-04
5.76E-03	4.12E+02	4.12E+00	8.65E-04
6.01E-03	3.48E+02	3.48E+00	9.02E-04
6.27E-03	2.89E+02	2.89E+00	9.40E-04
6.53E-03	2.35E+02	2.35E+00	9.80E-04
6.81E-03	1.88E+02	1.88E+00	1.02E-03
7.10E-03	1.47E+02	1.47E+00	1.07E-03
7.40E-03	1.12E+02	1.12E+00	1.11E-03
7.72E-03	8.39E+01	8.39E-01	1.16E-03
8.05E-03	6.15E+01	6.15E-01	1.21E-03
8.39E-03	4.45E+01	4.45E-01	1.26E-03
8.75E-03	3.22E+01	3.22E-01	1.31E-03
9.12E-03	2.39E+01	2.39E-01	1.37E-03
9.51E-03	1.87E+01	1.87E-01	1.43E-03
9.91E-03	1.57E+01	1.57E-01	1.49E-03
1.03E-02	1.41E+01	1.41E-01	1.55E-03
1.08E-02	1.32E+01	1.32E-01	1.62E-03
1.12E-02	1.26E+01	1.26E-01	1.69E-03
1.17E-02	1.19E+01	1.19E-01	1.76E-03
1.22E-02	1.10E+01	1.10E-01	1.83E-03
1.27E-02	9.82E+00	9.82E-02	1.91E-03
1.33E-02	8.48E+00	8.48E-02	1.99E-03
1.38E-02	7.13E+00	7.13E-02	2.08E-03
1.44E-02	5.87E+00	5.87E-02	2.16E-03
1.50E-02	4.80E+00	4.80E-02	2.26E-03
1.57E-02	3.94E+00	3.94E-02	2.35E-03
1.64E-02	3.27E+00	3.27E-02	2.45E-03
1.71E-02	2.75E+00	2.75E-02	2.56E-03
1.78E-02	2.33E+00	2.33E-02	2.67E-03
1.85E-02	1.97E+00	1.97E-02	2.78E-03
1.93E-02	1.66E+00	1.66E-02	2.90E-03
2.01E-02	1.39E+00	1.39E-02	3.02E-03
2.10E-02	1.16E+00	1.16E-02	3.15E-03
2.19E-02	9.81E-01	9.81E-03	3.28E-03
2.28E-02	8.35E-01	8.35E-03	3.42E-03
2.38E-02	7.14E-01	7.14E-03	3.57E-03
2.48E-02	6.13E-01	6.13E-03	3.72E-03
2.59E-02	5.24E-01	5.24E-03	3.88E-03
2.70E-02	4.45E-01	4.45E-03	4.05E-03
2.81E-02	3.74E-01	3.74E-03	4.22E-03
2.93E-02	3.12E-01	3.12E-03	4.40E-03
3.06E-02	2.60E-01	2.60E-03	4.59E-03
3.19E-02	2.19E-01	2.19E-03	4.78E-03
3.32E-02	1.86E-01	1.86E-03	4.98E-03
3.46E-02	1.59E-01	1.59E-03	5.20E-03
3.61E-02	1.37E-01	1.37E-03	5.42E-03
3.77E-02	1.16E-01	1.16E-03	5.65E-03
3.93E-02	9.72E-02	9.72E-04	5.89E-03
4.09E-02	8.11E-02	8.11E-04	6.14E-03
4.27E-02	6.82E-02	6.82E-04	6.40E-03
4.45E-02	5.82E-02	5.82E-04	6.68E-03
4.64E-02	5.00E-02	5.00E-04	6.96E-03
4.84E-02	4.24E-02	4.24E-04	7.26E-03
5.04E-02	3.54E-02	3.54E-04	7.56E-03
5.26E-02	2.96E-02	2.96E-04	7.89E-03
5.48E-02	2.53E-02	2.53E-04	8.22E-03
5.72E-02	2.17E-02	2.17E-04	8.57E-03
5.96E-02	1.83E-02	1.83E-04	8.94E-03
6.21E-02	1.53E-02	1.53E-04	9.32E-03
6.48E-02	1.29E-02	1.29E-04	9.72E-03
6.75E-02	1.11E-02	1.11E-04	1.01E-02
7.04E-02	9.34E-03	9.34E-05	1.06E-02
7.34E-02	7.81E-03	7.81E-05	1.10E-02
7.65E-02	6.70E-03	6.70E-05	1.15E-02
7.98E-02	5.68E-03	5.68E-05	1.20E-02
8.32E-02	4.74E-03	4.74E-05	1.25E-02
8.67E-02	4.06E-03	4.06E-05	1.30E-02
9.04E-02	3.44E-03	3.44E-05	1.36E-02
9.43E-02	2.87E-03	2.87E-05	1.41E-02
9.83E-02	2.47E-03	2.47E-05	1.47E-02
1.02E-01	2.07E-03	2.07E-05	1.54E-02
1.07E-01	1.77E-03	1.77E-05	1.60E-02
1.11E-01	1.52E-03	1.52E-05	1.67E-02
1.16E-01	1.31E-03	1.31E-05	1.74E-02
1.21E-01	1.15E-03	1.15E-05	1.82E-02
1.26E-01	1.00E-03	1.00E-05	1.89E-02
1.32E-01	8.80E-04	8.80E-06	1.97E-02
1.37E-01	7.68E-04	7.68E-06	2.06E-02
1.43E-01	6.66E-04	6.66E-06	2.15E-02
1.49E-01	5.82E-04	5.82E-06	2.24E-02
1.56E-01	4.94E-04	4.94E-06	2.33E-02
1.62E-01	4.25E-04	4.25E-06	2.43E-02
1.69E-01	3.61E-04	3.61E-06	2.54E-02
1.76E-01	2.99E-04	2.99E-06	2.64E-02
1.84E-01	2.50E-04	2.50E-06	2.76E-02
1.92E-01	2.09E-04	2.09E-06	2.87E-02
2.00E-01	1.72E-04	1.72E-06	3.00E-02
2.08E-01	1.40E-04	1.40E-06	3.12E-02
2.17E-01	1.13E-04	1.13E-06	3.26E-02
2.26E-01	9.26E-05	9.26E-07	3.40E-02
2.36E-01	7.59E-05	7.59E-07	3.54E-02
2.46E-01	6.20E-05	6.20E-07	3.69E-02
2.57E-01	5.04E-05	5.04E-07	3.85E-02
2.67E-01	4.06E-05	4.06E-07	4.01E-02
2.79E-01	3.26E-05	3.26E-07	4.18E-02
2.91E-01	2.61E-05	2.61E-07	4.36E-02
3.03E-01	2.15E-05	2.15E-07	4.55E-02
3.16E-01	1.82E-05	1.82E-07	4.74E-02
3.29E-01	1.52E-05	1.52E-07	4.94E-02
3.44E-01	1.27E-05	1.27E-07	5.15E-02
3.58E-01	1.10E-05	1.10E-07	5.37E-02
3.73E-01	9.27E-06	9.27E-08	5.60E-02
3.89E-01	8.05E-06	8.05E-08	5.84E-02
4.06E-01	6.73E-06	6.73E-08	6.09E-02
4.23E-01	5.57E-06	5.57E-08	6.35E-02
4.41E-01	4.64E-06	4.64E-08	6.62E-02
4.60E-01	3.76E-06	3.76E-08	6.90E-02
4.80E-01	2.92E-06	2.92E-08	7.19E-02
5.00E-01	2.20E-06	2.20E-08	7.50E-02
