X Y Z SLDN SLDMx SLDMy SLDMz
-40.5 -13.5 -13.5 6.97e-006 0 0 1.46e-006
-40.5 -13.5 -4.5 6.97e-006 0 0 1.46e-006
-40.5 -13.5 4.5 6.97e-006 0 0 1.46e-006
-40.5 -13.5 13.5 6.97e-006 0 0 1.46e-006
-40.5 -4.5 -13.5 6.97e-006 0 0 1.46e-006
-40.5 -4.5 -4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-40.5 -4.5 4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-40.5 -4.5 13.5 6.97e-006 0 0 1.46e-006
-40.5 4.5 -13.5 6.97e-006 0 0 1.46e-006
-40.5 4.5 -4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-40.5 4.5 4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-40.5 4.5 13.5 6.97e-006 0 0 1.46e-006
-40.5 13.5 -13.5 6.97e-006 0 0 1.46e-006
-40.5 13.5 -4.5 6.97e-006 0 0 1.46e-006
-40.5 13.5 4.5 6.97e-006 0 0 1.46e-006
-40.5 13.5 13.5 6.97e-006 0 0 1.46e-006
-31.5 -31.5 -4.5 6.97e-006 0 0 1.46e-006
-31.5 -31.5 4.5 6.97e-006 0 0 1.46e-006
-31.5 -22.5 -22.5 6.97e-006 0 0 1.46e-006
-31.5 -22.5 -13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -22.5 -4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -22.5 4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -22.5 13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -22.5 22.5 6.97e-006 0 0 1.46e-006
-31.5 -13.5 -22.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -13.5 -13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -13.5 -4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -13.5 4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -13.5 13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -13.5 22.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -4.5 -31.5 6.97e-006 0 0 1.46e-006
-31.5 -4.5 -22.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -4.5 -13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -4.5 -4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -4.5 4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -4.5 13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -4.5 22.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 -4.5 31.5 6.97e-006 0 0 1.46e-006
-31.5 4.5 -31.5 6.97e-006 0 0 1.46e-006
-31.5 4.5 -22.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 4.5 -13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 4.5 -4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 4.5 4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 4.5 13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 4.5 22.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 4.5 31.5 6.97e-006 0 0 1.46e-006
-31.5 13.5 -22.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 13.5 -13.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 13.5 -4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 13.5 4.5 6.97e-006 1.03238e-006 1.03238e-006 0
-31.5 13.5 13.5 6.97e-006 1.03238e-006 1.03238e-006 0
