 LOQ Wed  4-JUN-2003 14:21 SAMPLE: 98929     EMPTY CAN: 98931 used /FLAT                                                        
 Wav  2.20 >  10.00 Phi   45.0 >   180.0 Rad  38.0 >  419.0  Scaled* 0.970
  140    0    0    0    1  140    0
         0         0         0         0
 3 (F12.5,2E16.6)
     0.00700    2.108775E+01    6.056236E-01
     0.00900    6.914993E+00    1.796723E-01
     0.01100    3.298203E+00    9.425970E-02
     0.01300    1.952240E+00    5.847047E-02
     0.01500    1.374546E+00    4.143082E-02
     0.01700    9.863519E-01    3.112528E-02
     0.01900    8.562906E-01    2.609586E-02
     0.02100    7.996008E-01    2.298593E-02
     0.02300    7.398812E-01    2.073769E-02
     0.02500    7.028096E-01    1.897611E-02
     0.02700    6.653539E-01    1.772542E-02
     0.02900    6.673750E-01    1.703645E-02
     0.03100    6.628292E-01    1.644813E-02
     0.03300    6.895193E-01    1.620635E-02
     0.03500    6.972795E-01    1.582785E-02
     0.03700    7.134355E-01    1.556938E-02
     0.03900    7.015871E-01    1.504851E-02
     0.04100    7.491522E-01    1.515758E-02
     0.04300    7.580128E-01    1.491660E-02
     0.04500    7.836028E-01    1.485622E-02
     0.04700    8.412864E-01    1.503153E-02
     0.04900    8.843508E-01    1.511288E-02
     0.05100    9.263521E-01    1.521261E-02
     0.05300    9.740157E-01    1.535524E-02
     0.05500    1.024904E+00    1.555573E-02
     0.05700    1.064761E+00    1.569500E-02
     0.05900    1.088523E+00    1.574361E-02
     0.06100    1.112912E+00    1.579714E-02
     0.06300    1.155844E+00    1.599606E-02
     0.06500    1.163565E+00    1.601220E-02
     0.06700    1.166670E+00    1.597415E-02
     0.06900    1.152728E+00    1.588521E-02
     0.07100    1.150648E+00    1.588376E-02
     0.07300    1.132905E+00    1.578389E-02
     0.07500    1.111889E+00    1.568412E-02
     0.07700    1.070866E+00    1.547575E-02
     0.07900    1.042975E+00    1.535132E-02
     0.08100    1.028980E+00    1.535761E-02
     0.08300    9.790802E-01    1.510617E-02
     0.08500    9.274857E-01    1.480362E-02
     0.08700    8.770903E-01    1.447644E-02
     0.08900    8.377584E-01    1.420939E-02
     0.09100    8.000181E-01    1.392039E-02
     0.09300    7.676463E-01    1.366401E-02
     0.09500    7.239160E-01    1.330314E-02
     0.09700    6.798679E-01    1.295382E-02
     0.09900    6.449617E-01    1.268580E-02
     0.10100    6.181487E-01    1.250336E-02
     0.10300    5.873839E-01    1.230416E-02
     0.10500    5.696909E-01    1.222704E-02
     0.10700    5.509513E-01    1.214677E-02
     0.10900    5.404007E-01    1.212890E-02
     0.11100    5.233080E-01    1.202548E-02
     0.11300    4.988059E-01    1.184918E-02
     0.11500    4.840603E-01    1.177742E-02
     0.11700    4.692310E-01    1.170544E-02
     0.11900    4.540955E-01    1.161076E-02
     0.12100    4.442101E-01    1.157495E-02
     0.12300    4.373225E-01    1.160209E-02
     0.12500    4.315362E-01    1.166054E-02
     0.12700    4.265727E-01    1.172124E-02
     0.12900    4.259030E-01    1.184303E-02
     0.13100    4.162568E-01    1.184854E-02
     0.13300    4.127533E-01    1.192411E-02
     0.13500    4.105603E-01    1.202751E-02
     0.13700    4.049496E-01    1.209144E-02
     0.13900    4.033352E-01    1.220512E-02
     0.14100    4.013509E-01    1.232038E-02
     0.14300    4.007724E-01    1.246319E-02
     0.14500    3.945726E-01    1.252188E-02
     0.14700    3.857735E-01    1.254687E-02
     0.14900    3.791925E-01    1.260129E-02
     0.15100    3.795445E-01    1.276755E-02
     0.15300    3.736789E-01    1.283260E-02
     0.15500    3.706254E-01    1.296323E-02
     0.15700    3.682756E-01    1.310859E-02
     0.15900    3.716699E-01    1.334382E-02
     0.16100    3.687644E-01    1.350355E-02
     0.16300    3.691462E-01    1.371696E-02
     0.16500    3.659785E-01    1.385337E-02
     0.16700    3.588848E-01    1.394373E-02
     0.16900    3.559195E-01    1.412390E-02
     0.17100    3.576100E-01    1.441595E-02
     0.17300    3.569938E-01    1.467365E-02
     0.17500    3.567199E-01    1.493450E-02
     0.17700    3.512244E-01    1.509861E-02
     0.17900    3.554949E-01    1.545025E-02
     0.18100    3.585543E-01    1.579765E-02
     0.18300    3.508133E-01    1.597186E-02
     0.18500    3.477027E-01    1.622056E-02
     0.18700    3.428406E-01    1.646877E-02
     0.18900    3.464730E-01    1.690961E-02
     0.19100    3.487754E-01    1.739118E-02
     0.19300    3.408946E-01    1.765917E-02
     0.19500    3.436217E-01    1.819711E-02
     0.19700    3.377068E-01    1.853651E-02
     0.19900    3.413788E-01    1.914317E-02
