# Neutron-like data generated for model core_shell_sphere with parameters:
# radius = 150
# thickness = 40
# sld_core = 6
# sld_shell = 1
# sld_solvent = 6
# scale = 0.01
# background = 0.01
#    Q             counts           error          sigmaQ
1.000000e-03    1.817725e+02    5.741065e-01    1.007602e-03
1.069776e-03    1.804633e+02    5.720354e-01    1.007933e-03
1.144421e-03    1.807262e+02    5.724519e-01    1.008312e-03
1.224274e-03    1.806610e+02    5.723485e-01    1.008744e-03
1.309700e-03    1.807208e+02    5.724433e-01    1.009239e-03
1.401086e-03    1.809402e+02    5.727907e-01    1.009806e-03
1.498848e-03    1.788840e+02    5.695267e-01    1.010453e-03
1.603432e-03    1.778631e+02    5.678993e-01    1.011194e-03
1.715313e-03    1.783273e+02    5.686399e-01    1.012041e-03
1.835001e-03    1.779828e+02    5.680903e-01    1.013009e-03
1.963041e-03    1.756056e+02    5.642838e-01    1.014117e-03
2.100014e-03    1.748531e+02    5.630735e-01    1.015382e-03
2.246545e-03    1.743491e+02    5.622613e-01    1.016829e-03
2.403301e-03    1.732122e+02    5.604251e-01    1.018482e-03
2.570994e-03    1.720009e+02    5.584621e-01    1.020370e-03
2.750388e-03    1.704995e+02    5.560194e-01    1.022526e-03
2.942299e-03    1.682638e+02    5.523620e-01    1.024989e-03
3.147602e-03    1.663581e+02    5.492250e-01    1.027800e-03
3.367230e-03    1.633771e+02    5.442820e-01    1.031008e-03
3.602182e-03    1.617252e+02    5.415235e-01    1.034666e-03
3.853529e-03    1.586735e+02    5.363899e-01    1.038837e-03
4.122413e-03    1.540806e+02    5.285698e-01    1.043590e-03
4.410059e-03    1.510851e+02    5.234066e-01    1.049003e-03
4.717777e-03    1.458702e+02    5.142943e-01    1.055164e-03
5.046965e-03    1.417034e+02    5.068955e-01    1.062171e-03
5.399123e-03    1.365066e+02    4.975139e-01    1.070133e-03
5.775853e-03    1.314984e+02    4.883022e-01    1.079174e-03
6.178870e-03    1.248764e+02    4.758485e-01    1.089427e-03
6.610009e-03    1.178682e+02    4.623031e-01    1.101045e-03
