# X-ray-like data generated for model core_shell_sphere with parameters:
# radius = 150
# thickness = 40
# sld_core = 4
# sld_shell = 4
# sld_solvent = 6
# scale = 0.01
# background = 0.001
#    Q             counts           error          sigmaQ
1.000000e-03    1.140862e+02    1.140868e-02    1.007602e-04
1.006707e-03    1.140623e+02    1.140749e-02    1.007633e-04
1.013458e-03    1.140710e+02    1.140792e-02    1.007665e-04
1.020255e-03    1.140615e+02    1.140745e-02    1.007696e-04
1.027097e-03    1.140409e+02    1.140641e-02    1.007728e-04
1.033986e-03    1.140388e+02    1.140631e-02    1.007761e-04
1.040920e-03    1.140392e+02    1.140633e-02    1.007794e-04
1.047901e-03    1.140179e+02    1.140526e-02    1.007827e-04
1.054929e-03    1.140057e+02    1.140465e-02    1.007861e-04
1.062004e-03    1.139903e+02    1.140388e-02    1.007895e-04
1.069126e-03    1.139661e+02    1.140267e-02    1.007930e-04
1.076297e-03    1.139605e+02    1.140239e-02    1.007965e-04
1.083515e-03    1.139402e+02    1.140138e-02    1.008001e-04
1.090781e-03    1.139176e+02    1.140025e-02    1.008037e-04
1.098097e-03    1.139190e+02    1.140032e-02    1.008074e-04
1.105461e-03    1.138973e+02    1.139923e-02    1.008111e-04
1.112875e-03    1.138794e+02    1.139833e-02    1.008149e-04
1.120339e-03    1.138779e+02    1.139826e-02    1.008187e-04
1.127852e-03    1.138572e+02    1.139722e-02    1.008225e-04
1.135416e-03    1.138512e+02    1.139692e-02    1.008265e-04
1.143031e-03    1.138221e+02    1.139546e-02    1.008304e-04
1.150697e-03    1.138236e+02    1.139554e-02    1.008344e-04
1.158414e-03    1.138078e+02    1.139475e-02    1.008385e-04
1.166183e-03    1.137986e+02    1.139429e-02    1.008427e-04
1.174004e-03    1.137702e+02    1.139287e-02    1.008468e-04
1.181878e-03    1.137597e+02    1.139234e-02    1.008511e-04
1.189804e-03    1.137251e+02    1.139061e-02    1.008554e-04
1.197784e-03    1.137329e+02    1.139100e-02    1.008598e-04
1.205817e-03    1.136917e+02    1.138894e-02    1.008642e-04
1.213904e-03    1.136931e+02    1.138901e-02    1.008687e-04
1.222045e-03    1.136730e+02    1.138800e-02    1.008732e-04
1.230240e-03    1.136571e+02    1.138720e-02    1.008778e-04
1.238491e-03    1.136475e+02    1.138672e-02    1.008824e-04
1.246797e-03    1.136224e+02    1.138546e-02    1.008872e-04
1.255159e-03    1.136169e+02    1.138519e-02    1.008919e-04
1.263577e-03    1.136112e+02    1.138491e-02    1.008968e-04
1.272051e-03    1.135385e+02    1.138126e-02    1.009017e-04
