# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  5.61605e-01  1.59726e-02 
  2.25063e-03  5.62441e-01  1.06290e-02 
  3.50125e-03  5.76379e-01  8.49655e-03 
  4.75188e-03  5.63281e-01  7.26224e-03 
  6.00251e-03  5.59759e-01  6.42584e-03 
  7.25313e-03  5.48763e-01  5.80596e-03 
  8.50376e-03  5.39017e-01  5.31893e-03 
  9.75439e-03  5.25613e-01  4.92018e-03 
  1.10050e-02  5.16469e-01  4.58356e-03 
  1.22556e-02  5.09746e-01  4.29261e-03 
  1.35063e-02  4.88282e-01  4.03643e-03 
  1.47569e-02  4.79246e-01  3.80749e-03 
  1.60075e-02  4.65357e-01  3.60043e-03 
  1.72581e-02  4.49862e-01  3.41134e-03 
  1.85088e-02  4.37369e-01  3.23727e-03 
  1.97594e-02  4.20289e-01  3.07602e-03 
  2.10100e-02  4.00082e-01  2.92587e-03 
  2.22607e-02  3.88527e-01  2.78548e-03 
  2.35113e-02  3.71729e-01  2.65379e-03 
  2.47619e-02  3.53484e-01  2.52998e-03 
  2.60125e-02  3.39551e-01  2.41336e-03 
  2.72632e-02  3.23219e-01  2.30339e-03 
  2.85138e-02  3.04425e-01  2.19962e-03 
  2.97644e-02  2.92825e-01  2.10168e-03 
  3.10150e-02  2.79077e-01  2.00925e-03 
  3.22657e-02  2.65829e-01  1.92208e-03 
  3.35163e-02  2.54765e-01  1.83991e-03 
  3.47669e-02  2.41431e-01  1.76254e-03 
  3.60175e-02  2.27655e-01  1.68977e-03 
  3.72682e-02  2.14645e-01  1.62141e-03 
  3.85188e-02  2.06355e-01  1.55727e-03 
  3.97694e-02  1.96670e-01  1.49719e-03 
  4.10201e-02  1.87221e-01  1.44095e-03 
  4.22707e-02  1.76829e-01  1.38838e-03 
  4.35213e-02  1.70797e-01  1.33928e-03 
  4.47719e-02  1.66383e-01  1.29343e-03 
