SizesFitIntensity_0,SizesFitQvector_0
864999,0.00030828
858577,0.000343567
853418,0.000370095
848014,0.000396539
838451,0.000440753
832446,0.000467197
826230,0.000493725
815513,0.000537854
808869,0.000564383
802114,0.000590827
788239,0.000643799
776362,0.000688013
761845,0.000740985
749552,0.000785115
737110,0.000829244
721982,0.000882301
709280,0.00092643
693909,0.000979402
678423,0.00103237
660229,0.00109419
639305,0.00116485
623556,0.00121782
605137,0.00127963
581434,0.00135914
557778,0.00143864
534256,0.00151805
510878,0.00159755
487722,0.00167705
457293,0.001783
432366,0.00187134
407934,0.0019596
379314,0.00206554
351543,0.00217157
320391,0.0022952
294848,0.00240115
264526,0.00253362
236107,0.00266609
204645,0.00282501
180664,0.00295748
154594,0.00311648
129054,0.00329309
105947,0.00347853
85541,0.00367282
67294.9,0.00388471
53795.3,0.004079
40810.8,0.00431741
31372.1,0.00454699
23847,0.00479425
18076.9,0.00505919
13681,0.00535067
10514.1,0.00565974
8115.62,0.0060041
6430.68,0.00634847
5094.22,0.00671936
4039,0.00710793
3190.46,0.00752295
2536.88,0.00795574
2001.45,0.00845026
1605.98,0.00896238
1287.43,0.00951872
1035.33,0.0100839
806.223,0.0107286
615.323,0.0114174
466.999,0.0121415
359.912,0.0129009
277.648,0.0137752
218.399,0.0146582
169.687,0.0156472
133.594,0.0167069
104.69,0.0178285
76.0685,0.0190913
59.231,0.0204071
47.2798,0.0218465
33.5273,0.0234272
26.757,0.0251138
19.4099,0.0269595
15.0414,0.0289817
10.6766,0.0311629
8.33114,0.033556
5.94321,0.0361346
4.44822,0.0389869
3.20828,0.0420688
2.32106,0.0454951
1.61131,0.0491598
1.15881,0.0532925
1.13688,0.0577962
0.523349,0.0627325
0.459668,0.0681633
0.382509,0.0741945
0.171384,0.0808704
0.204594,0.0883851
0.0961966,0.0967564
0.0977991,0.106037
0.0577727,0.116368
0.0395583,0.1279
0.0199044,0.140828
0.0143761,0.155308
0.0140221,0.171564
0.00641838,0.189938
0.003984,0.21073
0.00286113,0.234294
0.0026043,0.261149
0.00128529,0.291656
0.000661212,0.326266
0.000730118,0.365848
0.000313275,0.411364
0.000190579,0.46399
0.00012416,0.524338
