SizesFitIntensity_0,SizesFitQvector_0
607669,4.06763e-05
537132,4.62263e-05
474150,5.17763e-05
418394,5.73263e-05
369241,6.28763e-05
325896,6.84263e-05
287750,7.39763e-05
254182,7.95263e-05
224663,8.50763e-05
198705,9.06263e-05
175894,9.61763e-05
155877,0.000101726
138332,0.000107276
109577,0.000118376
87706,0.000129476
71122.6,0.000140576
58514.2,0.000151676
48846.9,0.000162776
41332.1,0.000173876
35377.3,0.000184976
30553.7,0.000196076
26567.7,0.000207176
23228.1,0.000218276
20407.5,0.000229376
18014.5,0.000240476
15979,0.000251576
14241.1,0.000262676
12751,0.000273776
9878.31,0.000301526
7889.39,0.000329276
6485.12,0.000357026
5437,0.000384776
4609.56,0.000412526
3942.1,0.000440276
3401.28,0.000468026
2956.14,0.000495776
2577.46,0.000523526
2254.65,0.000551276
1757.78,0.000606776
1402.42,0.000662276
1147.03,0.000717776
955.193,0.000773276
807.464,0.000828776
697.977,0.000884276
614.698,0.000939776
547.816,0.000995276
490.978,0.00105078
442.048,0.00110628
360.627,0.00121728
294.171,0.00132828
239.907,0.00143928
195.654,0.00155028
159.088,0.00166128
128.244,0.00177228
102.399,0.00188328
80.222,0.00199428
61.5785,0.00210528
